Zip Code,#2 Fuel Oil with 0% biodiesel (gallons),#2 Fuel Oil with 2% biodiesel (gallons),#2 Fuel Oil with 5% biodiesel (gallons),#2 Fuel Oil with 6% biodiesel (gallons),#2 Fuel Oil with 10% biodiesel (gallons),#2 Fuel Oil with 17% biodiesel (gallons),Total #2 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #2 Fuel Oil,Total Biodiesel Blended with #2 Fuel Oil 1,#4 Fuel Oil with 2% biodiesel (gallons),#4 Fuel Oil with 5% biodiesel (gallons),#4 Fuel Oil with 6% biodiesel (gallons),Total #4 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #4 Fuel Oil
10467,1524.4,145514.0378,1276123.812,2285866.435,66574.1,157097,3772739.188,256550.3,991780.2,42457.95116,1518910.9,697371.7768,2140103.617,118637.0106
10468,4303.4,74895.66779,848180.9775,968341.77,89653.2,53983,1946812.917,127051.1,509512.48,16952.0896,451960.4,432929.7441,852929.3873,48912.84644
10469,1932,33363.63474,180777.3794,223052.2566,47519.3,278798,816923.9437,106916.43,238621.66,2423.976886,126227.3,303.0161185,122576.2675,6378.025505
10470,0,25087.82264,263831.6404,191520.7421,39472.6,130838,634522.1022,60160.7,178278.72,8893.627583,169629,294613.6732,446800.1578,26336.14294
10471,0,70930.13384,496603.76,1201744.129,49926.6,96079,1834623.774,129434.45,486604.28,5671.484074,118248,177800.48,285026.1056,16693.85848
10472,156,48451.22138,438118.8374,469577.1853,131550.5,164837,1231604.207,110012.04,338547.78,8900.101005,409336.3,55244.28242,449521.2095,23959.47397
10473,2737.7,33245.52451,232203.7849,318068.4846,212384.9,63467,845490.3052,75079.59,232485.15,2702.078638,140709.3,337.7810182,136639.3862,7109.773434
10474,1320.7,111252.3321,174161.3779,2651289.084,101288.2,13230,2892585.154,187996.34,760905.41,647.1309859,16152,17627.89645,32548.81103,1878.216407
10475,400.1,25374.37974,9206.449265,654815.6537,0,9210,660072.9334,42544.65,173837.04,0,0,0,0,0
10499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,0,5477.135136,38018.37134,29105.58294,0,58078,133835.4332,17826.66,40397.14,1066.184737,55521,133.2814527,53915.09561,2805.370582
11005,0,946.0724367,24312.36524,452.3456697,0,0,24837.90289,1358.88,6229.26,0,0,0,0,0
