"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","10th percentile ppb","90th percentile ppb","Mean ppb"
"Winter 2015-16","Citywide","1","0","New York City","0.1","0.3","0.2"
"Winter 2015-16","Borough","1","1","Bronx","0.2","0.5","0.3"
"Winter 2015-16","Borough","2","1","Brooklyn","0.2","0.2","0.2"
"Winter 2015-16","Borough","3","1","Manhattan","0.2","0.5","0.4"
"Winter 2015-16","Borough","4","1","Queens","0.2","0.3","0.2"
"Winter 2015-16","Borough","5","1","Staten Island","0.1","0.1","0.1"
"Winter 2015-16","UHF 34","101","3","Kingsbridge - Riverdale","0.2","0.4","0.3"
"Winter 2015-16","UHF 34","102","3","Northeast Bronx","0.3","0.3","0.3"
"Winter 2015-16","UHF 34","103","3","Fordham - Bronx Pk","0.3","0.6","0.5"
"Winter 2015-16","UHF 34","104","3","Pelham - Throgs Neck","0.2","0.3","0.3"
"Winter 2015-16","UHF 34","201","3","Greenpoint","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","202","3","Downtown - Heights - Slope","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","204","3","East New York","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","205","3","Sunset Park","0.1","0.2","0.2"
"Winter 2015-16","UHF 34","206","3","Borough Park","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","207","3","East Flatbush - Flatbush","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","208","3","Canarsie - Flatlands","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","209","3","Bensonhurst - Bay Ridge","0.1","0.2","0.2"
"Winter 2015-16","UHF 34","210","3","Coney Island - Sheepshead Bay","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","211","3","Williamsburg - Bushwick","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","301","3","Washington Heights","0.4","0.6","0.5"
"Winter 2015-16","UHF 34","302","3","Central Harlem - Morningside Heights","0.3","0.4","0.3"
"Winter 2015-16","UHF 34","303","3","East Harlem","0.2","0.4","0.3"
"Winter 2015-16","UHF 34","304","3","Upper West Side","0.3","0.5","0.4"
"Winter 2015-16","UHF 34","401","3","Long Island City - Astoria","0.2","0.3","0.2"
"Winter 2015-16","UHF 34","402","3","West Queens","0.2","0.3","0.2"
"Winter 2015-16","UHF 34","403","3","Flushing - Clearview","0.2","0.3","0.3"
"Winter 2015-16","UHF 34","405","3","Ridgewood - Forest Hills","0.2","0.3","0.2"
"Winter 2015-16","UHF 34","407","3","Southwest Queens","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","408","3","Jamaica","0.2","0.3","0.2"
"Winter 2015-16","UHF 34","409","3","Southeast Queens","0.2","0.3","0.3"
"Winter 2015-16","UHF 34","410","3","Rockaways","0.2","0.2","0.2"
"Winter 2015-16","UHF 34","305307","3","Upper East Side-Gramercy","0.3","0.6","0.4"
"Winter 2015-16","UHF 34","306308","3","Chelsea-Village","0.2","0.5","0.3"
"Winter 2015-16","UHF 34","309310","3","Union Square-Lower Manhattan","0.2","0.5","0.3"
"Winter 2015-16","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","0.2","0.3","0.3"
"Winter 2015-16","UHF 34","501502","3","Northern SI","0.1","0.1","0.1"
"Winter 2015-16","UHF 34","503504","3","Southern SI","0.1","0.1","0.1"
"Winter 2015-16","UHF 34","105106107","3","South Bronx","0.2","0.5","0.3"
"Winter 2015-16","UHF 42","101","4","Kingsbridge - Riverdale","0.2","0.4","0.3"
"Winter 2015-16","UHF 42","102","4","Northeast Bronx","0.3","0.3","0.3"
"Winter 2015-16","UHF 42","103","4","Fordham - Bronx Pk","0.3","0.6","0.5"
"Winter 2015-16","UHF 42","104","4","Pelham - Throgs Neck","0.2","0.3","0.3"
"Winter 2015-16","UHF 42","105","4","Crotona -Tremont","0.3","0.6","0.4"
"Winter 2015-16","UHF 42","106","4","High Bridge - Morrisania","0.3","0.5","0.4"
"Winter 2015-16","UHF 42","107","4","Hunts Point - Mott Haven","0.2","0.3","0.2"
"Winter 2015-16","UHF 42","201","4","Greenpoint","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","202","4","Downtown - Heights - Slope","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","204","4","East New York","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","205","4","Sunset Park","0.1","0.2","0.2"
"Winter 2015-16","UHF 42","206","4","Borough Park","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","207","4","East Flatbush - Flatbush","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","208","4","Canarsie - Flatlands","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","209","4","Bensonhurst - Bay Ridge","0.1","0.2","0.2"
"Winter 2015-16","UHF 42","210","4","Coney Island - Sheepshead Bay","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","211","4","Williamsburg - Bushwick","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","301","4","Washington Heights","0.4","0.6","0.5"
"Winter 2015-16","UHF 42","302","4","Central Harlem - Morningside Heights","0.3","0.4","0.3"
"Winter 2015-16","UHF 42","303","4","East Harlem","0.2","0.4","0.3"
"Winter 2015-16","UHF 42","304","4","Upper West Side","0.3","0.5","0.4"
"Winter 2015-16","UHF 42","305","4","Upper East Side","0.3","0.6","0.4"
"Winter 2015-16","UHF 42","306","4","Chelsea - Clinton","0.2","0.5","0.4"
"Winter 2015-16","UHF 42","307","4","Gramercy Park - Murray Hill","0.3","0.5","0.4"
"Winter 2015-16","UHF 42","308","4","Greenwich Village - SoHo","0.2","0.4","0.3"
"Winter 2015-16","UHF 42","309","4","Union Square - Lower East Side","0.2","0.5","0.3"
"Winter 2015-16","UHF 42","310","4","Lower Manhattan","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","401","4","Long Island City - Astoria","0.2","0.3","0.2"
"Winter 2015-16","UHF 42","402","4","West Queens","0.2","0.3","0.2"
"Winter 2015-16","UHF 42","403","4","Flushing - Clearview","0.2","0.3","0.3"
"Winter 2015-16","UHF 42","404","4","Bayside - Little Neck","0.3","0.3","0.3"
"Winter 2015-16","UHF 42","405","4","Ridgewood - Forest Hills","0.2","0.3","0.2"
"Winter 2015-16","UHF 42","406","4","Fresh Meadows","0.2","0.3","0.3"
"Winter 2015-16","UHF 42","407","4","Southwest Queens","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","408","4","Jamaica","0.2","0.3","0.2"
"Winter 2015-16","UHF 42","409","4","Southeast Queens","0.2","0.3","0.3"
"Winter 2015-16","UHF 42","410","4","Rockaways","0.2","0.2","0.2"
"Winter 2015-16","UHF 42","501","4","Port Richmond","0.1","0.1","0.1"
"Winter 2015-16","UHF 42","502","4","Stapleton - St. George","0.1","0.1","0.1"
"Winter 2015-16","UHF 42","503","4","Willowbrook","0.1","0.1","0.1"
"Winter 2015-16","UHF 42","504","4","South Beach - Tottenville","0.1","0.1","0.1"
"Winter 2015-16","Community District","101","6","Financial District (CD1)","0.2","0.2","0.2"
"Winter 2015-16","Community District","102","6","Greenwich Village and Soho (CD2)","0.3","0.5","0.4"
"Winter 2015-16","Community District","103","6","Lower East Side and Chinatown (CD3)","0.2","0.4","0.3"
"Winter 2015-16","Community District","104","6","Clinton and Chelsea (CD4)","0.2","0.4","0.3"
"Winter 2015-16","Community District","105","6","Midtown (CD5)","0.3","0.5","0.4"
"Winter 2015-16","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","0.3","0.5","0.4"
"Winter 2015-16","Community District","107","6","Upper West Side (CD7)","0.4","0.5","0.4"
"Winter 2015-16","Community District","108","6","Upper East Side (CD8)","0.3","0.6","0.4"
"Winter 2015-16","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","0.3","0.5","0.4"
"Winter 2015-16","Community District","110","6","Central Harlem (CD10)","0.3","0.4","0.4"
"Winter 2015-16","Community District","111","6","East Harlem (CD11)","0.2","0.4","0.3"
"Winter 2015-16","Community District","112","6","Washington Heights and Inwood (CD12)","0.4","0.6","0.5"
"Winter 2015-16","Community District","201","6","Mott Haven and Melrose (CD1)","0.2","0.3","0.3"
"Winter 2015-16","Community District","202","6","Hunts Point and Longwood (CD2)","0.2","0.3","0.2"
"Winter 2015-16","Community District","203","6","Morrisania and Crotona (CD3)","0.3","0.4","0.3"
"Winter 2015-16","Community District","204","6","Highbridge and Concourse (CD4)","0.3","0.5","0.4"
"Winter 2015-16","Community District","205","6","Fordham and University Heights (CD5)","0.5","0.7","0.6"
"Winter 2015-16","Community District","206","6","Belmont and East Tremont (CD6)","0.3","0.5","0.4"
"Winter 2015-16","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","0.5","0.6","0.6"
"Winter 2015-16","Community District","208","6","Riverdale and Fieldston (CD8)","0.2","0.4","0.3"
"Winter 2015-16","Community District","209","6","Parkchester and Soundview (CD9)","0.2","0.3","0.3"
"Winter 2015-16","Community District","210","6","Throgs Neck and Co-op City (CD10)","0.2","0.3","0.3"
"Winter 2015-16","Community District","211","6","Morris Park and Bronxdale (CD11)","0.3","0.4","0.3"
"Winter 2015-16","Community District","212","6","Williamsbridge and Baychester (CD12)","0.3","0.4","0.3"
"Winter 2015-16","Community District","301","6","Greenpoint and Williamsburg (CD1)","0.2","0.2","0.2"
"Winter 2015-16","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","0.2","0.2","0.2"
"Winter 2015-16","Community District","303","6","Bedford Stuyvesant (CD3)","0.2","0.2","0.2"
"Winter 2015-16","Community District","304","6","Bushwick (CD4)","0.2","0.2","0.2"
"Winter 2015-16","Community District","305","6","East New York and Starrett City (CD5)","0.2","0.2","0.2"
"Winter 2015-16","Community District","306","6","Park Slope and Carroll Gardens (CD6)","0.1","0.2","0.2"
"Winter 2015-16","Community District","307","6","Sunset Park (CD7)","0.1","0.2","0.2"
"Winter 2015-16","Community District","308","6","Crown Heights and Prospect Heights (CD8)","0.2","0.2","0.2"
"Winter 2015-16","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","0.2","0.2","0.2"
"Winter 2015-16","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","0.1","0.2","0.2"
"Winter 2015-16","Community District","311","6","Bensonhurst (CD11)","0.2","0.2","0.2"
"Winter 2015-16","Community District","312","6","Borough Park (CD12)","0.2","0.2","0.2"
"Winter 2015-16","Community District","313","6","Coney Island (CD13)","0.1","0.2","0.2"
"Winter 2015-16","Community District","314","6","Flatbush and Midwood (CD14)","0.2","0.2","0.2"
"Winter 2015-16","Community District","315","6","Sheepshead Bay (CD15)","0.2","0.2","0.2"
"Winter 2015-16","Community District","316","6","Brownsville (CD16)","0.2","0.2","0.2"
"Winter 2015-16","Community District","317","6","East Flatbush (CD17)","0.2","0.2","0.2"
"Winter 2015-16","Community District","318","6","Flatlands and Canarsie (CD18)","0.2","0.2","0.2"
"Winter 2015-16","Community District","401","6","Long Island City and Astoria (CD1)","0.2","0.3","0.2"
"Winter 2015-16","Community District","402","6","Woodside and Sunnyside (CD2)","0.2","0.3","0.2"
"Winter 2015-16","Community District","403","6","Jackson Heights (CD3)","0.2","0.3","0.3"
"Winter 2015-16","Community District","404","6","Elmhurst and Corona (CD4)","0.2","0.3","0.3"
"Winter 2015-16","Community District","405","6","Ridgewood and Maspeth (CD5)","0.2","0.2","0.2"
"Winter 2015-16","Community District","406","6","Rego Park and Forest Hills (CD6)","0.2","0.3","0.3"
"Winter 2015-16","Community District","407","6","Flushing and Whitestone (CD7)","0.2","0.3","0.3"
"Winter 2015-16","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","0.2","0.3","0.3"
"Winter 2015-16","Community District","409","6","Kew Gardens and Woodhaven (CD9)","0.2","0.3","0.2"
"Winter 2015-16","Community District","410","6","South Ozone Park and Howard Beach (CD10)","0.2","0.2","0.2"
"Winter 2015-16","Community District","411","6","Bayside and Little Neck (CD11)","0.2","0.3","0.3"
"Winter 2015-16","Community District","412","6","Jamaica and Hollis (CD12)","0.2","0.3","0.2"
"Winter 2015-16","Community District","413","6","Queens Village (CD13)","0.2","0.3","0.3"
"Winter 2015-16","Community District","414","6","Rockaway and Broad Channel (CD14)","0.2","0.2","0.2"
"Winter 2015-16","Community District","501","6","St. George and Stapleton (CD1)","0.1","0.1","0.1"
"Winter 2015-16","Community District","502","6","South Beach and Willowbrook (CD2)","0.1","0.1","0.1"
"Winter 2015-16","Community District","503","6","Tottenville and Great Kills (CD3)","0.1","0.1","0.1"
